src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
10.20.35.215,61972,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,49.118.204.166,26358,17,,Unknown
10.20.35.215,17339,49.7.30.142,5004,17,,Unknown
10.20.35.215,64888,111.202.74.192,443,17,static-s.iqiyi.com,QUIC.PPStream
10.20.35.215,61977,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,110.152.44.61,27063,17,,Unknown
10.20.35.215,17339,111.48.119.50,5004,17,,Unknown
10.20.35.215,61965,116.211.202.162,80,6,t7z.cupid.iqiyi.com,HTTP.PPStream
10.20.35.215,61982,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,110.152.42.88,29578,17,,Unknown
10.20.35.215,17339,122.190.67.194,5004,17,,Unknown
10.20.35.215,61974,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,62005,182.242.59.41,80,6,pic1.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,110.152.34.255,24189,17,,Unknown
10.20.35.215,61930,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,61987,182.242.59.41,80,6,pic1.iqiyipic.com,HTTP.PPStream
10.20.35.215,62010,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,218.84.171.155,11757,17,,Unknown
10.20.35.215,61932,111.202.75.3,443,6,api-lequ.iqiyi.com,TLS.PPStream
10.20.35.215,61994,110.185.186.41,80,6,pic4.iqiyipic.com,HTTP.PPStream
10.20.35.215,62033,219.151.25.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,49.118.192.74,7732,17,,Unknown
10.20.35.215,61940,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,62002,182.242.59.41,80,6,pic1.iqiyipic.com,HTTP.PPStream
10.20.35.215,62044,125.74.40.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,106.124.150.140,19050,17,,Unknown
10.20.35.215,61948,119.84.52.239,80,6,cmts.iqiyi.com,HTTP.PPStream
10.20.35.215,62014,110.185.186.41,80,6,pic4.iqiyipic.com,HTTP.PPStream
10.20.35.215,62050,118.180.40.41,80,6,pic9.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,49.119.181.224,6312,17,,Unknown
10.20.35.215,61949,49.7.33.96,443,6,emoticon-sns.iqiyi.com,TLS.PPStream
10.20.35.215,62022,182.242.59.41,80,6,pic1.iqiyipic.com,HTTP.PPStream
10.20.35.215,62054,123.129.246.26,80,6,pic8.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,49.118.211.200,8312,17,,Unknown
10.20.35.215,61950,13.107.42.16,443,6,config.edge.skype.com,TLS.Skype_Teams
10.20.35.215,62027,36.99.3.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,62061,106.38.212.74,443,6,sns-comment.iqiyi.com,TLS.PPStream
10.20.35.215,17339,49.118.249.122,7402,17,,Unknown
10.20.35.215,17339,10.20.104.2,39830,17,,Unknown
10.20.35.215,62031,58.42.14.41,80,6,pic6.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,115.231.179.154,16900,17,,Unknown
10.20.35.215,61971,111.63.147.24,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,17339,10.20.230.134,17703,17,,Unknown
10.20.35.215,62035,219.151.25.41,80,6,pic0.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,116.211.199.153,16600,17,,Unknown
10.20.35.215,61973,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,49.118.236.218,1591,17,,Unknown
10.20.35.215,62047,36.99.3.41,80,6,pic5.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,59.61.114.82,50603,17,,Unknown
10.20.35.215,61978,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,49.119.92.103,12444,17,,Unknown
10.20.35.215,62057,36.99.3.41,80,6,pic5.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,112.66.246.19,43230,17,,Unknown
10.20.35.215,61979,103.44.58.148,443,6,iface2.iqiyi.com,TLS.PPStream
10.20.35.215,17339,110.152.29.37,29718,17,,Unknown
10.20.35.215,62073,116.211.198.198,80,6,liveats-vod.video.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,120.32.96.70,20371,17,,Unknown
10.20.35.215,61983,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,218.84.171.155,21394,17,,Unknown
10.20.35.215,17339,59.61.112.199,51205,17,,Unknown
10.20.35.215,17339,49.117.171.220,8282,17,,Unknown
10.20.35.215,61988,110.185.186.41,80,6,pic4.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,110.152.61.172,13487,17,,RTP
10.20.35.215,17339,59.56.147.96,30333,17,,Unknown
10.20.35.215,17339,125.89.89.202,31764,17,,Unknown
10.20.35.215,61993,110.185.186.41,80,6,pic4.iqiyipic.com,HTTP.PPStream
10.20.35.215,61967,36.110.238.56,80,6,msga.cupid.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,120.32.96.70,39673,17,,Unknown
10.20.35.215,17339,124.91.132.3,23083,17,,Unknown
10.20.35.215,61996,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61968,111.63.147.24,443,6,cook.iqiyi.com,TLS.PPStream
10.20.35.215,17339,58.48.12.49,56999,17,,Unknown
10.20.35.215,17339,219.159.208.25,48137,17,,Unknown
10.20.35.215,62001,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61975,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,113.143.96.133,11266,17,,Unknown
10.20.35.215,62102,116.211.198.187,80,6,puma-api.iqiyi.com,HTTP.PPStream
10.20.35.215,62013,110.185.186.41,80,6,pic4.iqiyipic.com,HTTP.PPStream
10.20.35.215,61980,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,17339,218.77.18.50,34633,17,,Unknown
10.20.35.215,62109,103.44.58.19,80,6,cache.video.iqiyi.com,HTTP.PPStream
10.20.35.215,62016,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
58.49.216.170,443,10.20.35.215,61496,6,,TLS
10.20.35.215,17339,113.13.44.90,50401,17,,Unknown
10.20.35.215,62112,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,62021,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,61998,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
10.20.35.215,17339,113.81.95.148,17414,17,,Unknown
10.20.35.215,62117,124.237.225.7,443,6,mesh.if.iqiyi.com,TLS.PPStream
10.20.35.215,62025,58.42.14.41,80,6,pic6.iqiyipic.com,HTTP.PPStream
10.20.35.215,62000,110.185.186.41,80,6,pic4.iqiyipic.com,HTTP.PPStream
10.20.35.215,62078,120.71.177.29,80,6,baiducdnct.inter.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,116.7.158.197,9601,17,,Unknown
10.20.35.215,62026,36.99.3.41,80,6,pic3.iqiyipic.com,HTTP.PPStream
10.20.35.215,62008,118.180.40.41,80,6,pic9.iqiyipic.com,HTTP.PPStream
10.20.35.215,62081,36.110.238.56,80,6,msga.cupid.iqiyi.com,HTTP.PPStream
10.20.35.215,17339,113.85.113.122,2316,17,,Unknown
10.20.35.215,62036,118.180.40.41,80,6,pic9.iqiyipic.com,HTTP.PPStream
10.20.35.215,62018,125.64.104.41,80,6,pic2.iqiyipic.com,HTTP.PPStream
182.104.114.45,38602,10.20.35.215,1863,17,,Unknown
10.20.35.215,17339,222.87.164.8,18402,17,,Unknown
10.20.35.215,62040,49.7.32.137,80,6,doh.iqiyi.com,HTTP.PPStream
10.20.35.215,62020,110.185.186.41,80,6,pic4.iqiyipic.com,HTTP.PPStream
10.20.35.215,62090,49.7.33.13,443,6,serv.vip.iqiyi.com,TLS.PPStream
10.20.35.215,17339,124.226.211.5,22677,17,,Unknown
