,src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
120,192.168.0.101,55911,192.168.1.1,53,17,puui.qpic.cn,DNS
121,192.168.0.101,55753,192.168.1.1,53,17,config.ab.qq.com,DNS.QQ
122,192.168.0.101,64414,192.168.1.1,53,17,rdelivery.qq.com,DNS.QQ
123,192.168.0.101,62090,36.155.163.111,443,6,snowflake.qq.com,TLS.QQ
124,192.168.0.101,62126,183.194.204.26,443,6,api6.poll.video.qq.com,TLS.QQ
125,192.168.0.101,7758,120.241.70.212,30851,17,,Unknown
126,192.168.0.101,58053,192.168.1.1,53,17,v6-accvideo.wns.qq.com,DNS.QQ
127,192.168.0.101,50409,192.168.1.1,53,17,config.ab.qq.com,DNS.QQ
128,192.168.0.101,62092,36.155.228.170,443,6,rdelivery.qq.com,TLS.QQ
129,192.168.0.101,35161,120.241.139.217,18888,17,,Unknown
130,192.168.0.101,0,223.113.137.215,0,1,,ICMP
131,192.168.0.101,56070,182.254.63.121,443,17,iacc.stgw.qq.com,QUIC.QQ
132,192.168.0.101,62097,36.155.205.119,443,6,config.ab.qq.com,TLS.QQ
133,192.168.0.101,59380,221.181.97.220,80,6,vv.video.qq.com,HTTP.QQ
134,192.168.0.101,50430,192.168.1.1,53,17,ins-pg0yhk52.ias.tencent-cloud.net,DNS
135,192.168.0.101,54616,192.168.1.1,53,17,pay.video.qq.com,DNS.QQ
136,192.168.0.101,63415,36.155.249.30,443,17,i.video.qq.com,QUIC.QQ
137,192.168.0.101,62098,120.204.2.221,8081,6,,Unknown
138,192.168.0.101,58617,192.168.1.1,53,17,vi.bls.mdt.qq.com,DNS.QQ
139,192.168.0.101,35161,223.109.209.244,13485,17,,Unknown
140,192.168.0.101,53606,192.168.1.1,53,17,content.rconfig.qq.com,DNS.QQ
141,192.168.0.101,62093,36.155.228.170,443,6,rdelivery.qq.com,TLS.QQ
142,192.168.0.101,62099,183.194.237.220,443,6,disp-qryapi.3g.qq.com,TLS.QQ
143,192.168.0.101,59384,211.136.109.23,8080,6,,HTTP_Proxy
144,192.168.0.101,35161,112.60.1.126,8005,17,,Unknown
145,192.168.0.101,60756,192.168.1.1,53,17,amp-api-edge-lb.itunes-apple.com.akadns.net,DNS
146,192.168.0.101,55468,192.168.1.1,53,17,aedns.weixin.qq.com,DNS.QQ
147,192.168.0.101,56257,183.194.190.173,443,17,iacc.rec.qq.com,QUIC.QQ
148,192.168.0.101,58167,192.168.1.1,53,17,iacc.qq.com,DNS.QQ
149,192.168.0.101,35161,111.19.115.208,26947,17,,Unknown
150,192.168.0.101,62142,36.155.227.64,443,6,content.rconfig.qq.com,TLS.QQ
151,192.168.0.101,62094,120.241.130.172,443,6,,TLS.QQ
152,192.168.0.101,59381,120.204.207.186,443,6,,TLS
153,192.168.0.101,52152,192.168.1.1,53,17,iacc.qq.com,DNS.QQ
154,192.168.0.101,35161,112.60.1.50,8021,17,,Unknown
155,192.168.0.101,62143,109.244.191.57,443,6,szmg.qq.com,TLS.QQ
156,192.168.0.101,62100,111.48.141.98,8081,6,,Unknown
157,192.168.0.101,62101,111.48.210.245,8081,6,,Unknown
158,192.168.0.101,56172,192.168.1.1,53,17,ins-alu6339o.ias.tencent-cloud.net,DNS
159,192.168.0.101,62800,192.168.1.1,53,17,safebrowsing.googleapis.com,DNS.GoogleServices
160,192.168.0.101,50806,192.168.1.1,53,17,ins-34k401ta.ias.tencent-cloud.net,DNS
